Name,Null_Count,FeatureType,Category,Select,Reason,
ARR_TIME,0,num,base,No,Data leakage,
CANCELLED,0,num,base,No,All canceled will be dropped,
CRS_ARR_TIME,0,num,base,Yes,,
CRS_DEP_TIME,0,num,base,Yes,,
DAY_OF_MONTH,0,num,base,No,Use DAY_OF_MONTH_cos/_sin,
DAY_OF_MONTH_cos,0,num,engineered,Yes,,
DAY_OF_MONTH_sin,0,num,engineered,Yes,,
DAY_OF_WEEK,0,num,base,No,Use DAY_OF_WEEK_cos/sin,
DAY_OF_WEEK_cos,0,num,engineered,Yes,,
DAY_OF_WEEK_sin,0,num,engineered,Yes,,
degree_centrality,0,num,graph,Yes,,
DEP_DEL15,0,num,base,No,Data leakage?,
DEP_DELAY,0,num,base,No,Data leakage?,
DEP_DELAY_GROUP,0,num,base,No,Data leakage?,
DEP_DELAY_NEW,0,num,base,No,Data leakage?,
dep_hour,0,num,engineered,No,USE HOUR_cos/sin,
DEP_HOUR_cos,0,num,engineered,Yes,,
DEP_HOUR_sin,0,num,engineered,Yes,,
dep_min,0,num,engineered,No,Use DEP_MIN_cos/sin,
DEP_MIN_cos,0,num,engineered,Yes,,
DEP_MIN_sin,0,num,engineered,Yes,,
DEP_TIME,0,num,base,No,Data leakage?,
DEST_AIRPORT_ID,0,num,base,No,,
DEST_AIRPORT_SEQ_ID,0,num,base,No,,
DEST_CITY_MARKET_ID,0,num,base,No,,
dest_community,0,cat,engineered,Yes,MOVE TO CAT SHEET,
dest_ELEVATION,0,num,base,No,,
DEST_STATE_ABR_bit_0,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_ABR_bit_1,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_ABR_bit_2,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_ABR_bit_3,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_ABR_bit_4,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_ABR_bit_5,0,ohe,engineered,No,Already OHE'd ,
DEST_STATE_FIPS,0,cat,base,No,"Use DEST_STATE_ABR_bit_0,1...",
DEST_WAC,0,,base,No,,
DISTANCE,0,num,base,Yes,,
DISTANCE_GROUP,0,,base,No,,
DIVERTED,0,,base,No,Data leakage,
dry_bulb_temp_12hr_avg,0,num,engineered,Yes,,
dry_bulb_temp_24hr_avg,0,,engineered,No,,
dry_bulb_temp_24hr_max,0,num,engineered,Yes,,
dry_bulb_temp_24hr_min,0,num,engineered,Yes,,
dry_bulb_temp_3hr_avg,0,num,engineered,Yes,,
dry_bulb_temp_6hr_avg,0,,engineered,No,,
dry_bulb_temp_rate_change_1hr,0,num,engineered,Yes,,
ELEVATION,0,num,base,Yes,,
FLIGHTS,0,num,base,No,"What is this?? - It's unnecessary, that's what it is",
HourlyAltimeterSetting,0,num,base,No,,
HourlyDewPointTemperature,0,num,base,No,Linear combination of Drybulb & relative humidity,
HourlyDryBulbTemperature,0,num,base,Yes,,
HourlyPrecipitation,0,num,base,Yes,,
HourlyPressureChange_handcalc,0,num,base,Yes,,
HourlyPressureTendency,0,num,base,Yes,,
HourlyRelativeHumidity,0,num,base,Yes,,
HourlyStationPressure,0,num,base,Yes,,
HourlyVisibility,0,num,base,Yes,,
HourlyWetBulbTemperature,0,num,base,No,Linear combination of Drybulb & relative humidity,
HourlyWindDirection_cos,0,num,engineered,Yes,,
HourlyWindDirection_is_vrb,0,num,engineered,Yes,,
HourlyWindDirection_sin,0,num,engineered,Yes,,
HourlyWindSpeed,0,num,base,Yes,,
in_centrality,0,num,graph,Yes,,
Layer1_Height,0,num,engineered,No,excluded for now,
Layer2_Height,0,num,engineered,No,excluded for now due to large number of nulls,
Layer3_Height,0,num,engineered,No,excluded for now due to large number of nulls,
Layer1_Octa,0,num,engineered,No,excluded for now,
Layer2_Octa,0,num,engineered,No,excluded for now due to large number of nulls,
Layer3_Octa,0,num,engineered,No,excluded for now due to large number of nulls,
max_recent_pressure_drop_24hr,0,num,engineered,Yes,,
max_recent_pressure_drop_24hr_index,0,num,engineered,Yes,,
MONTH,0,num,base,No,Use sin/cos version instead,
MONTH_cos,0,num,engineered,Yes,,
MONTH_sin,0,num,engineered,Yes,,
OP_CARRIER_AIRLINE_ID,0,,base,No,Use bit instead,
OP_CARRIER_bit_0,0,ohe,engineered,Yes,Already OHE'd ,
OP_CARRIER_bit_1,0,ohe,engineered,Yes,Already OHE'd ,
OP_CARRIER_bit_2,0,ohe,engineered,Yes,Already OHE'd ,
OP_CARRIER_bit_3,0,ohe,engineered,Yes,Already OHE'd ,
OP_CARRIER_bit_4,0,ohe,engineered,Yes,Already OHE'd ,
OP_CARRIER_FL_NUM,0,,base,No,,
ORIGIN_AIRPORT_ID,0,,base,No,,
origin_airport_latitude,0,,base,No,,
origin_airport_longitude,0,,base,No,,
ORIGIN_AIRPORT_SEQ_ID,0,,base,No,,
ORIGIN_CITY_MARKET_ID,0,,base,No,,
ORIGIN_STATE_ABR_bit_0,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_ABR_bit_1,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_ABR_bit_2,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_ABR_bit_3,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_ABR_bit_4,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_ABR_bit_5,0,ohe,engineered,No,Already OHE'd,
ORIGIN_STATE_FIPS,0,,base,No,Use ORIGIN STATE bit,
ORIGIN_WAC,0,,base,No,,
outbound_dep_count_2hr,0,num,graph,Yes,,
precip_12hr_sum,0,num,engineered,Yes,,
precip_24hr_sum,0,num,engineered,Yes,,
precip_3hr_sum,0,num,engineered,Yes,,
precip_6hr_sum,0,num,engineered,Yes,,
QUARTER,0,,base,No,,
QUARTER_cos,0,num,engineered,Yes,,
QUARTER_sin,0,num,engineered,Yes,,
relative_humidity_12hr_avg,0,,engineered,No,,
relative_humidity_3hr_avg,0,,engineered,No,,
relative_humidity_6hr_avg,0,,engineered,No,,
relative_humidity_rate_change_1hr,0,num,engineered,Yes,,
row_id,0,,engineered,No,id,
scheduled_dep_datetime_local,0,,engineered,No,timestamp,
scheduled_dep_datetime_local_minus_2hr,0,,engineered,No,timestamp,
scheduled_dep_datetime_minus_2hr_utc,0,,engineered,No,timestamp,
TAXI_OUT,0,,base,No,Data Leakage,
visibility_12hr_avg,0,,engineered,No,,
visibility_3hr_avg,0,num,engineered,Yes,,
visibility_6hr_avg,0,num,engineered,Yes,,
weather_hour_trunc_utc,0,,engineered,No,timestamp,
weather_station_latitude,0,,engineered,No,,
weather_station_longitude,0,,engineered,No,,
weighted_degree_centrality,0,num,engineered,Yes,,
WHEELS_OFF,0,,base,No,Data Leakage,
wind_speed_12hr_avg,0,,engineered,No,,
wind_speed_24hr_avg,0,,engineered,No,,
wind_speed_24hr_max,0,num,engineered,Yes,,
wind_speed_3hr_avg,0,num,engineered,Yes,,
wind_speed_6hr_avg,0,num,engineered,Yes,,
YEAR,0,ohe,base,Yes,Keep as is (no scaling),
dest_HourlyPresentWeatherType,"18,481,508",,engineered,No,,
HourlyPresentWeatherType,"18,429,851",,base,No,,
ARR_DELAY,"67,855",,base,No,Data leakage,
ARR_DELAY_NEW,"67,855",,base,No,Data leakage,
ARR_DEL15,"67,855",,base,No,Data leakage,
ARR_DELAY_GROUP,"67,855",,base,No,Data leakage,
ACTUAL_ELAPSED_TIME,"65,396",,base,No,Data leakage,
AIR_TIME,"65,396",,base,No,Data leakage,
dest_weather_datetime_local,"41,004",,engineered,No,,
weather_datetime_local,"40,073",,engineered,No,,
weather_datetime,"40,073",,base,No,,
dest_HourlyPressureTendency,"35,350",,engineered,No,,
dest_HourlyPressureChange_handcalc,"23,618",,engineered,No,,
dest_precip_rate_change_3hr,"12,433",,engineered,No,,
dest_precip_rate_change_2hr,"12,317",,engineered,No,,
dest_precip_rate_change_1hr,"12,244",,engineered,No,,
dest_HourlyPrecipitation,"12,213",,engineered,No,,
dest_precip_3hr_sum,"12,194",num,engineered,Yes,,
dest_precip_6hr_sum,"12,168",num,engineered,Yes,,
dest_precip_12hr_sum,"12,147",num,engineered,Yes,,
dest_precip_24hr_sum,"12,130",num,engineered,Yes,,
dest_max_recent_pressure_drop_24hr,"11,619",,engineered,No,,
dest_max_recent_pressure_drop_24hr_index,"11,619",,engineered,No,,
dest_HourlySkyConditions,"7,623",,engineered,No,,
dest_HourlyWetBulbTemperature,"3,249",,engineered,No,,
dest_HourlyStationPressure,"3,223",,engineered,No,,
HourlySkyConditions,"2,053",,base,No,Replaced with Michael's column,
dest_visibility_rate_change_3hr,"2,043",num,engineered,Yes,,
dest_visibility_rate_change_2hr,"1,257",num,engineered,Yes,,
dest_visibility_rate_change_1hr,952,num,engineered,Yes,,
dest_HourlyAltimeterSetting,766,,engineered,No,,
dest_HourlyVisibility,761,num,engineered,Yes,,
dest_visibility_3hr_avg,741,num,engineered,Yes,,
dest_visibility_6hr_avg,717,num,engineered,Yes,,
dest_visibility_12hr_avg,688,num,engineered,Yes,,
dest_relative_humidity_rate_change_3hr,403,num,engineered,Yes,,
dest_relative_humidity_rate_change_2hr,384,num,engineered,Yes,,
dest_relative_humidity_rate_change_1hr,371,num,engineered,Yes,,
dest_HourlyWindDirection,351,,engineered,No,,
dest_HourlyDewPointTemperature,349,,engineered,No,,
dest_HourlyRelativeHumidity,348,,engineered,No,,
dest_relative_humidity_3hr_avg,331,,engineered,No,,
dest_REM,327,,engineered,No,,
dest_REPORT_TYPE,313,,engineered,No,,
dest_SOURCE,313,,engineered,No,,
dest_relative_humidity_6hr_avg,309,,engineered,No,,
dest_relative_humidity_12hr_avg,279,,engineered,No,,
dest_wind_speed_rate_change_3hr,233,num,engineered,Yes,,
dest_dry_bulb_temp_rate_change_3hr,233,num,engineered,Yes,,
dest_dry_bulb_temp_rate_change_2hr,219,num,engineered,Yes,,
dest_wind_speed_rate_change_2hr,218,num,engineered,Yes,,
dest_dry_bulb_temp_rate_change_1hr,212,num,engineered,Yes,,
dest_wind_speed_rate_change_1hr,211,num,engineered,Yes,,
dest_HourlyDryBulbTemperature,205,num,engineered,Yes,,
dest_HourlyWindSpeed,204,num,engineered,Yes,,
dest_dry_bulb_temp_3hr_avg,204,,engineered,No,,
dest_wind_speed_3hr_avg,203,,engineered,No,,
dest_dry_bulb_temp_6hr_avg,198,,engineered,No,,
dest_wind_speed_6hr_avg,197,,engineered,No,,
dest_wind_speed_12hr_avg,190,,engineered,No,,
dest_dry_bulb_temp_12hr_avg,190,,engineered,No,,
dest_wind_speed_24hr_avg,188,,engineered,No,,
dest_wind_speed_24hr_max,188,,engineered,No,,
dest_dry_bulb_temp_24hr_avg,188,,engineered,No,,
dest_dry_bulb_temp_24hr_max,188,,engineered,No,,
dest_dry_bulb_temp_24hr_min,188,,engineered,No,,
precip_rate_change_3hr,44,num,engineered,Yes,,
visibility_rate_change_3hr,39,num,engineered,Yes,,
relative_humidity_rate_change_3hr,35,num,engineered,Yes,,
precip_rate_change_2hr,27,num,engineered,Yes,,
wind_speed_rate_change_3hr,24,num,engineered,Yes,,
dry_bulb_temp_rate_change_3hr,24,num,engineered,Yes,,
visibility_rate_change_2hr,21,num,engineered,Yes,,
relative_humidity_rate_change_2hr,20,num,engineered,Yes,,
wind_speed_rate_change_2hr,11,num,engineered,Yes,,
dry_bulb_temp_rate_change_2hr,11,num,engineered,Yes,,
CRS_ELAPSED_TIME,7,num,base,Yes,,
WHEELS_ON,2,,base,No,Data Leakage,
TAXI_IN,2,,base,No,Data Leakage,
precip_rate_change_1hr,1,num,engineered,Yes,,
wind_speed_rate_change_1hr,1,num,engineered,Yes,,
visibility_rate_change_1hr,1,num,engineered,Yes,,
TAIL_NUM,0,,base,No,Too big? ,
OP_UNIQUE_CARRIER,0,,base,No,Use bit encoding,
OP_CARRIER,0,,base,No,Use bit encoding,
ORIGIN,0,,base,No,,
ORIGIN_CITY_NAME,0,,base,No,,
ORIGIN_STATE_ABR,0,,base,No,Use bit encoding,
ORIGIN_STATE_NM,0,,base,No,Use bit encoding,
DEST,0,,base,No,,
DEST_CITY_NAME,0,,base,No,,
DEST_STATE_ABR,0,,base,No,Use bit encoding,
DEST_STATE_NM,0,,base,No,Use bit encoding,
DEP_TIME_BLK,0,cat,base,No,,
ARR_TIME_BLK,0,cat,base,No,,
timezone,0,,base,No,,
airport_name,0,,base,No,,
airport_type,0,cat,base,Yes,,
weather_station_name,0,,base,No,,
STATION,0,,base,No,,
REPORT_TYPE,0,,base,No,,
SOURCE,0,,base,No,,
HourlyWindDirection,0,,base,No,Use cyclical,
REM,0,,base,No,,
dest_airport_latitude,0,,base,No,,
dest_airport_longitude,0,,base,No,,
dest_timezone,0,,base,No,,
dest_airport_name,0,,base,No,"Perfectly colinear, with airport code",
dest_airport_type,0,cat,base,Yes,,
dest_weather_station_name,0,,base,No,,
dest_weather_station_latitude,0,,base,No,,
dest_weather_station_longitude,0,,base,No,,
Rain,0,ohe,engineered,Yes,,
Snow,0,ohe,engineered,Yes,,
Fog,0,ohe,engineered,Yes,,
Hail,0,ohe,engineered,Yes,,
DustSand,0,ohe,engineered,Yes,,
SmokeHaze,0,ohe,engineered,Yes,,
Tornado,0,ohe,engineered,Yes,,
Layer1_Desc,0,cat,engineered,No,,
Layer2_Desc,0,cat,engineered,No,,
Layer3_Desc,0,cat,engineered,No,,
DEP_DELAY_PREV,,num,engineered,Yes,,
scheduled_time_between_arr_dep_min,,num,engineered,Yes,,
taxi_out_prev,,num,engineered,Yes,,
ORIGIN_PREV,??,cat,engineered,No,This would need to be encoded (bit?),
DEST_PREV,??,cat,engineered,No,"This should be origin, but it isn't always",
CANCELLED_PREV,,num,engineered,Yes,,
ORIGIN_PREV_EQ_DEST,,num,engineered,Yes,,
avg_dep_delay_last_24hr_origin,,num,engineered,Yes,,
std_dep_delay_last_24hr_origin,,num,engineered,Yes,,
cancelation_count_last_24hr_origin,,num,engineered,Yes,,
avg_delay_last_24hr_dest,??,num,engineered,No,Maybe arrival delay for destination airport?,
std_delay_last_24hr_dest,??,num,engineered,No,,
avg_dep_delay_last_24hr_dest,,num,engineered,Yes,was: avg_arr_delay_last_24hr_dest,Arrival delay of the destination airport
std_dep_delay_last_24hr_dest,,num,engineered,Yes,was: std_arr_delay_last_24hr_dest,
cancelation_count_last_24hr_dest,??,num,engineered,No,,
avg_arr_delay_last_24hr_origin_prev,??,num,engineered,No,,
std_arr_delay_last_24hr_origin_prev,??,num,engineered,No,,
avg_dep_delay_last_24_hr_origin_prev,,num,engineered,Yes,,Departure delay of previous airport 
std_dep_delay_last_24_hr_origin_prev,,num,engineered,Yes,,
cancelation_count_last_24hr_origin_prev,,num,engineered,Yes,,
avg_dep_delay_last_24hr_dest_prev,,num,engineered,Yes,was: avg_arr_delay_last_24hr_dest_prev,Arrival delay of previous destination airport (which might be current airport)
std_dep_delay_last_24hr_dest_prev,,num,engineered,Yes,was: std_arr_delay_last_24hr_dest_prev,
avg_delay_last_5_fl_num,,num,engineered,No,,
avg_delay_last_5_tail_num,,num,engineered,No,,
scheduled_flights_count,,num,engineered,Yes,,
ORIGIN_bit_0,,ohe,engineered,Yes,,
ORIGIN_bit_1,,ohe,engineered,Yes,,
ORIGIN_bit_2,,ohe,engineered,Yes,,
ORIGIN_bit_3,,ohe,engineered,Yes,,
ORIGIN_bit_4,,ohe,engineered,Yes,,
ORIGIN_bit_5,,ohe,engineered,Yes,,
ORIGIN_bit_6,,ohe,engineered,Yes,,
ORIGIN_bit_7,,ohe,engineered,Yes,,
ORIGIN_bit_8,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_0,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_1,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_2,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_3,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_4,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_5,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_6,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_7,,ohe,engineered,Yes,,
ORIGIN_PREV_bit_8,,ohe,engineered,Yes,,
Holiday,,ohe,engineered,Yes,,
HolidayAdjacent,,ohe,engineered,Yes,,
origin_community,,cat,graph,Yes,,
